iteration,country_name,currency,is_circulation,person,years_of_birth_death,in_circulation_since,years_of_circulation,reason_for_honor,denomination,obverse_or_reverse
63,Lesotho,NA,1,King Moshoeshoe I,1786-1870,1994,NA,King of Lesotho (1822-1870),100 maloti,Obverse
63,Lesotho,NA,1,"King Letsie III, King Moshoeshoe I and King Moshoeshoe II (Constantine Bereng Seeiso)",1963- (King Letsie III); 1786–1870 (King Moshoeshoe I); 1938–1996 (King Moshoeshoe II),2009,NA,King of Lesotho (1996-) (King Letsie III); King of Lesotho (1822-1870) (King Moshoeshoe I); King of Lesotho (1966-1996) (King Moshoeshoe II),100 maloti,Obverse
63,Lesotho,NA,1,King Moshoeshoe I,1786-1870,1994,NA,King of Lesotho (1822-1870),200 maloti,Obverse
63,Lesotho,NA,1,"King Letsie III, King Moshoeshoe I and King Moshoeshoe II (Constantine Bereng Seeiso)",1963- (King Letsie III); 1786–1870 (King Moshoeshoe I); 1938–1996 (King Moshoeshoe II),2016,NA,King of Lesotho (1996-) (King Letsie III); King of Lesotho (1822-1870) (King Moshoeshoe I); King of Lesotho (1966-1996) (King Moshoeshoe II),200 maloti,Obverse
64,Liberia,NA,1,Edward James Roye,1815-1872,1999,NA,5th President of Liberia (1870-1871),5 Liberian dollars,Obverse
64,Liberia,NA,1,Joseph Jenkins Roberts,1809-1876,1999,NA,1st President of Liberia (1848-1856); 7th President of Liberia (1872-1876),10 Liberian dollars,Obverse
64,Liberia,NA,1,William V. S. Tubman,1895-1971,1999,NA,19th President of Liberia (1944-1971),20 Liberian dollars,Obverse
64,Liberia,NA,1,Samuel Kanyon Doe,1951-1990,1999,NA,21st President of Liberia (1980-1990),50 Liberian dollars,Obverse
64,Liberia,NA,1,"William Richard Tolbert, Jr.",1913-1980,1999,NA,20th President of Liberia (1971-1980),100 Liberian dollars,Obverse
65,Libya,NA,1,Omar Al-Mukhtār,1858-1931,1971,NA,Leading the native resistance to the Italian colonization of Libya,10 dinars,Obverse
66,Malawi,NA,1,M’mbelwa II,,2012,NA,Inkosi ya Makhosi (Paramount Chief),20 kwacha,Obverse
66,Malawi,NA,1,Philip Gomani II,,2012,NA,Inkosi ya Makhosi (Paramount Chief),50 kwacha,Obverse
66,Malawi,NA,1,James Frederick Sangala,1900-?,2012,NA,Founding member of the Nyasaland African Congress,100 kwacha,Obverse
66,Malawi,NA,1,Rose Lomathinda Chibambo,1928-,2012,NA,Leader of the Nyasaland African Congress,200 kwacha,Obverse
66,Malawi,NA,1,John Chilembwe,1871-1915,2012,NA,Baptist pastor and educator; figure to the resistance to colonialism,500 kwacha,Obverse
66,Malawi,NA,1,Hastings Kamuzu Banda,1898-1997,2012,NA,1st President of Malawi (1966-1994); 1st Prime Minister of Malawi (1964-1966),"1,000 kwacha",Obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 1,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1996-2005,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 2,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967(polymer in 1996),NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 5,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 10,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1982,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 20,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 50,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 100,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1982–1999,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,RM 500,obverse
67,Malaysia,NA,1,Abdul Rahman of Negeri Sembilan,1895 – 1960,1967–1999,NA,1st Yang di-Pertuan Agong (Supreme Head of State)of the Federation of Malaya,"RM 1,000",obverse
68,Mauritius,NA,1,Moilin Jean Ah-Chuen,,1998,NA,,25 rupees,Obverse
68,Mauritius,NA,1,Joseph Maurice Paturau,,1998,NA,,50 rupees,Obverse
68,Mauritius,NA,1,Renganaden Seeneevassen,,1998,NA,,100 rupees,Obverse
68,Mauritius,NA,1,Abdool Razack Mohamed,1906-1978,1998,NA,Deputy Prime Minister of Mauritius (1967-1978),200 rupees,Obverse
68,Mauritius,NA,1,Sookdeo Bissoondoyal,1908-1977,1998,NA,Mauritian politician; one of the leading figures of the independence movement,500 rupees,Obverse
68,Mauritius,NA,1,Charles Gaëtan Duval,,1998,NA,,"1,000 rupees",Obverse
68,Mauritius,NA,1,Seewoosagur Ramgoolam,1900-1985,1998,NA,1st Chief Minister of Mauritius (1963-1968); Prime Minister of Mauritius (1976-1982); Chairman of the Organisation of African Unity (1976-1977); Governor-General of Mauritius (1983-1985),"2,000 rupees",Obverse
69,Mexico,NA,1,Sor Juana Inés de la Cruz,1648/51-1695,1996,NA,"Nun, scholar and poet",$200,obverse
69,Mexico,NA,1,Miguel Hidalgo,1753–1811,2004,NA,Catholic priest; leader of Mexico's struggle for independence,"$1,000",obverse
69,Mexico,NA,1,Benito Juárez,1806–1872,1996(polymer in 2002),NA,26th President of Mexico (1858–1872),$20,both
69,Mexico,NA,1,José María Morelos,1765–1815,1996(polymer in 2006),NA,leader for Mexican independence,$50,obverse
69,Mexico,NA,1,Nezahualcoyotl,1402–1472,1996,NA,Texcocan king,$100,obverse
69,Mexico,NA,1,Diego Rivera and Frida Kahlo,1829–1862,1996,NA,Artists and Communist Party militants,$500,obverse
69,Mexico,NA,1,Venustiano Carranza,1859-1920,2017 (commemorative),NA,37th President of Mexico (1917-1920),$100,obverse
69,Mexico,NA,1,Luis Manuel Rojas,,2017 (commemorative),NA,,$100,obverse
70,Moldova,NA,1,Stephen III (the Great),1433-1504,1992,NA,Prince of the Principality of Moldavia (1457-1504) and Saint of the Romanian Orthodox Church,"All (1-1,000 lei)",Obverse
71,Mongolia,NA,1,Damdin Sükhbaatar,1893-1923,1939,NA,"Founding member of the Mongolian People's Party, leader of the Mongolian partisan army, Father of the Mongolian Revolution",₮5,Obverse
71,Mongolia,NA,1,Damdin Sükhbaatar,1893-1923,1939,NA,"Founding member of the Mongolian People's Party, leader of the Mongolian partisan army, Father of the Mongolian Revolution",₮10,Obverse
71,Mongolia,NA,1,Damdin Sükhbaatar,1893-1923,1981,NA,"Founding member of the Mongolian People's Party, leader of the Mongolian partisan army, Father of the Mongolian Revolution",₮20,Obverse
71,Mongolia,NA,1,Damdin Sükhbaatar,1893-1923,1939,NA,"Founding member of the Mongolian People's Party, leader of the Mongolian partisan army, Father of the Mongolian Revolution",₮50,Obverse
71,Mongolia,NA,1,Damdin Sükhbaatar,1893-1923,1939,NA,"Founding member of the Mongolian People's Party, leader of the Mongolian partisan army, Father of the Mongolian Revolution",₮100,Obverse
71,Mongolia,NA,1,Genghis Khan,1162-1227,1993,NA,Founder and Great Khan (emperor) of the Mongol Empire (1206-1227),₮500,Obverse
71,Mongolia,NA,1,Genghis Khan,1162-1227,1993,NA,Founder and Great Khan (emperor) of the Mongol Empire (1206-1227),"₮1,000",Obverse
71,Mongolia,NA,1,Genghis Khan,1162-1227,1994,NA,Founder and Great Khan (emperor) of the Mongol Empire (1206-1227),"₮5,000",Obverse
71,Mongolia,NA,1,Genghis Khan,1162-1227,1995,NA,Founder and Great Khan (emperor) of the Mongol Empire (1206-1227),"₮10,000",Obverse
71,Mongolia,NA,1,Genghis Khan,1162-1227,2006,NA,Founder and Great Khan (emperor) of the Mongol Empire (1206-1227),"₮20,000",Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2002,NA,King of Morocco (1999-),20 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2013,NA,King of Morocco (1999-),20 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2002,NA,King of Morocco (1999-),50 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2013,NA,King of Morocco (1999-),50 dirhams,Obverse
72,Morocco,NA,1,"Mohammed VI, Mohammed V and Hassan II",1963- (Mohammed VI); 1909–1961 (Mohammed V); 1929–1999 (Hassan II),2002,NA,King of Morocco (1927-1961) (Mohammed V); King of Morocco (1961-1999) (Hassan II); King of Morocco (1999-) (Mohammed VI),100 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2012,NA,King of Morocco (1999-),100 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI and Hassan II,1963- (Mohammed VI); 1929–1999 (Hassan II),2002,NA,King of Morocco (1999-) (Mohammed VI); King of Morocco (1961-1999) (Hassan II),200 dirhams,Obverse
72,Morocco,NA,1,Mohammed VI,1963-,2012,NA,King of Morocco (1999-),200 dirhams,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)",20 meticais,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)",50 meticais,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)",100 meticais,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)",200 meticais,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)",500 meticais,Obverse
73,Mozambique,NA,1,Samora Moisés Machel,1933-1986,2006,NA,"Military commander, revolutionary, socialist leader and President of Mozambique (1975-1986)","1,000 meticais",Obverse
74,Namibia,NA,1,Hendrik Witbooi,1830-1905,1993 and 2012,NA,King of the Namaqua people; National hero of Namibia,All (10 to 200 Namibian dollars),Obverse
74,Namibia,NA,1,Sam Nujoma,1929-,2012,NA,1st President of Namibia (1990-2005),10 and 20 Namibian dollars,Obverse
75,New Zealand,NA,1,Elizabeth II,1926 –,1967,NA,"Queen and Head of State of New Zealand since 1952, and leader of the Commonwealth of Nations.",$20,Obverse
75,New Zealand,NA,1,Sir Edmund Hillary,1919–2008,1990,NA,"Mountaineer and explorer. First person to reach the summit of Mount Everest (1953), and first person to drive overland to the South Pole (1958). Later known for his community work in Nepal.",$5,Obverse
75,New Zealand,NA,1,Āpirana Ngata,1874–1950,1990,NA,"Played a significant role in the revival of Māori people and culture during the early 20th century. First Māori graduate for a New Zealand University, and Member of Parliament for 38 years.",$50,Obverse
75,New Zealand,NA,1,Lord Rutherford of Nelson,1871–1937,1990,NA,"New Zealand physicist and 'father of the atom'; explaining the perplexing problem of naturally occurring radioactivity, determining the structure of the atom, and changing one element into another. Awarded the Nobel Prize in Chemistry in 1908.",$100,Obverse
75,New Zealand,NA,1,Kate Sheppard,1848–1934,1990,NA,"Prominent suffragette, who led the campaign for woman's right to vote. This determination led to New Zealand being the first sovereign state to allow woman to vote, in 1893.",$10,Obverse
76,Nigeria,NA,1,Alhaji Abubakar Tafawa Balewa,1912-1966,2006,NA,Prime Minister of Nigeria (1960-1966),₦5,Obverse
76,Nigeria,NA,1,Alvan Ikoku,1900-1971,2006,NA,"Educator, statesman, activist and politician",₦10,Obverse
76,Nigeria,NA,1,Murtala Mohammed,1938-1976,2006,NA,4th Head of State of Nigeria (1975-1976),₦20,Obverse
76,Nigeria,NA,1,Ladi Kwali,1925-1984,2006,NA,Potter,₦20,Reverse
76,Nigeria,NA,1,Obafemi Awolowo,1909-1987,1999,NA,Premier of Western Nigeria (1954-1960),₦100,Obverse
76,Nigeria,NA,1,Ahmadu Bello,1910-1966,2000,NA,Premier of Northern Nigeria (1954-1966),₦200,Obverse
76,Nigeria,NA,1,Benjamin Nnamdi Azikiwe,1904-1966,2001,NA,1st President of Nigeria (1963-1966),₦500,Obverse
76,Nigeria,NA,1,Aliyu Mai-Bornu and Clement Nyong Isong,1919–1970 (Aliyu Mai-Bornu); 1920–2000 (Clement Nyong Isong),2005,NA,Governor of the Central Bank of Nigeria (1963-1967; Aliyu Mai-Bornu); Governor of the Central Bank of Nigeria (1967-1975; Clement Nyong Isong),"₦1,000",Obverse
77,Nicaragua,NA,1,Miguel Larreynaga,1772-1842,2002,NA,"Philosopher, humanist, lawyer and poet",C$10,Obverse
77,Nicaragua,NA,1,José Santos Zelaya López,1853-1919,2002,NA,President of Nicaragua (1893-1909),C$20,Obverse
77,Nicaragua,NA,1,Pedro Joaquín Chamorro Cardenal,1924-1978,2002,NA,Journalist and publisher,C$50,Obverse
77,Nicaragua,NA,1,Félix Rubén García Sarmiento,1867-1916,2002,NA,"Poet, journalist, diplomat, and writer",C$100,Obverse
77,Nicaragua,NA,1,José Dolores Estrada Vado,1792-1869,2002,NA,National hero of Nicaragua,C$500,Obverse
77,Nicaragua,NA,1,Félix Rubén García Sarmiento,1867-1916,2016 (commemorative),NA,"Poet, journalist, diplomat and writer","C$1,000",Obverse
78,Norway,NA,1,Peter Christen Asbjørnsen,1812–1885,1997,NA,Writer and scholar; collector of Norwegian folklore,50 kr,obverse
78,Norway,NA,1,Kirsten Flagstad,1895–1962,1997,NA,opera singer,100 kr,obverse
78,Norway,NA,1,Kristian Birkeland,1867–1917,1994,NA,scientist,200 kr,obverse
78,Norway,NA,1,Sigrid Undset,1882-1949,1999,NA,Nobel Prize winner for Literature (1928),500 kr,obverse
78,Norway,NA,1,Edvard Munch,1863–1944,2001,NA,Expressionist painter,"1,000 kr",obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),100 baisa,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),200 baisa,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),1/2 Rial,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),1 Rial,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),5 Rials,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),10 Rials,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),20 Rials,Obverse
79,Oman,NA,1,Qaboos bin Said al Said,1940-,1995,NA,Sultan of Oman (1970-),50 Rials,Obverse
80,Papua New Guinea,NA,1,Michael Somare,1936-,1999,NA,Prime Minister of Papua New Guinea (1975-2011),50 kina,Reverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2006,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""",Rs. 10,obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2005,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""",Rs. 20,obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,1977,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""",Rs. 50,obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2006,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""",Rs. 100,obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2006,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""",Rs. 500,obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2007,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""","Rs. 1,000",obverse
81,Pakistan,NA,1,Muhammad Ali Jinnah,1876–1948,2006,NA,"1st Governor-General of Pakistan (1947–1948);""Father of the Nation""","Rs. 5,000",obverse
82,Paraguay,NA,1,Adela and Celsa Speratti,(1865-1902) and (1868–1938),2008,NA,Founded the first Normal Schools in the country,"2,000",Obverse
82,Paraguay,NA,1,Carlos Antonio López,1792-1862,1962,NA,Consul of Paraguay (1841-1844); 1st President of Paraguay (1844-1862),"5,000",Obverse
82,Paraguay,NA,1,José Gaspar Rodríguez de Francia,1766-1840,1962,NA,Consul of Paraguay (1813-1814; 1814-1840),"10,000",Obverse
82,Paraguay,NA,1,Agustín Pío Barrios,1885-1944,1981,NA,Classical guitarist and composer,"50,000",Obverse
82,Paraguay,NA,1,Roque González de Santa Cruz,1576-1628,1998,NA,Patron saint of Paraguay,"100,000",Obverse
83,Peru,Nuevo sol,1,José Quiñones Gonzáles,1914–1941,1991–,NA,National aviation hero,S/. 10,obverse
83,Peru,Nuevo sol,1,Raúl Porras Barrenechea,1897–1960,1991–,NA,"Minister of Foreign Affairs, Historian, Senator",S/. 20,obverse
83,Peru,Nuevo sol,1,Abraham Valdelomar,1888–1919,1991–,NA,Poet,S/. 50,obverse
83,Peru,Nuevo sol,1,Jorge Basadre,1903–1980,1991–,NA,"Minister of education, Historian",S/. 100,obverse
83,Peru,Nuevo sol,1,Rose of Lima,1586–1617,1995–,NA,"Saint Rose of Lima, First catholic saint of the Americas",S/. 200,obverse
84,Philippines,NA,1,Manuel L. Quezon,1878–1944,1986,NA,2nd President of the Philippines (1935–1944),₱20,obverse
84,Philippines,NA,1,Sergio Osmeña,1878–1961,1986,NA,4th President of the Philippines (1944–1946),₱50,obverse
84,Philippines,NA,1,Manuel Roxas,1892–1948,1986,NA,5th President of the Philippines (1946–1948),₱100,obverse
84,Philippines,NA,1,Diosdado Macapagal,1910–1997,2002,NA,9th President of the Philippines (1961–1965),₱200,obverse
84,Philippines,NA,1,"Hilario Davide, Jr.",1935-,2002,NA,20th Chief Justice of the Supreme Court (1998–2005); swore in President Gloria Macapagal-Arroyo,₱200,reverse
84,Philippines,NA,1,Gloria Macapagal-Arroyo,1947-,2002,NA,Daughter of President Diosdado Macapagal; 14th President of the Philippines (2001-2009),₱200,reverse
84,Philippines,NA,1,Corazon Aquino,1933-2009,2010,NA,11th President of the Philippines (1986-1992),₱500,obverse
84,Philippines,NA,1,"Benigno Aquino, Jr.",1932–1983,1987,NA,Leader of the opposition to the autocracy and dictatorship of President Ferdinand Marcos,₱500,both
84,Philippines,NA,1,José Abad Santos,1886–1942,2002,NA,5th Chief Justice of the Supreme Court; executed by Japanese forces during World War II,"₱1,000",obverse
84,Philippines,NA,1,Josefa Llanes Escoda,1898–1945,1991,NA,Founder of the Girl Scouts in the Philippines; executed by Japanese forces during World War II,"₱1,000",obverse
84,Philippines,NA,1,Vicente Lim,1889–1945,1991,NA,Brigadier General of the Philippine Army; executed by Japanese forces during World War II,"₱1,000",obverse
85,Poland,NA,1,Boleslaw I,966/7-1025,"1995, 2012, 2015 and 2017",NA,King of Poland (992-1025),20 zł,obverse
85,Poland,NA,1,Casimir III,1310–1370,"1995, 2012, 2015 and 2017",NA,King of Poland (1333–1370),50 zł,obverse
85,Poland,NA,1,Jogaila,1351–1434,"1995, 2012, 2015 and 2017",NA,King of Poland (1386–1434),100 zł,obverse
85,Poland,NA,1,Mieszko I,935-992,"1995, 2012, 2015 and 2017",NA,Duke of Poland (960-992),10 zł,obverse
85,Poland,NA,1,Sigismund I the Old,1520–1572,"1995, 2012, 2015 and 2017",NA,King of Poland (1530–1572),200 zł,obverse
85,Poland,NA,1,John III Sobieski,1629-1696,NA,NA,King of Poland and Grand Duke of Lithuiania (1674-1696),500 zł,obverse
86,Poland,NA,1,Józef Klemens Piłsudski,1867-1935,2008 (commemorative)2014 (commemorative),NA,Chief of State of the Second Republic of Poland (1918-1922); First Marshal of Poland (1920); Dictator of the Second Polish Republic (1926-1935); Minister of Military Affairs (1926-1935),10 and 20 zł,Obverse
86,Poland,NA,1,Juliusz Słowacki,1809-1849,2009 (commemorative),NA,Romantic Poet,20 zł,Obverse
86,Poland,NA,1,Frédéric Chopin,1810-1849,2010 (commemorative),NA,Composer and Virtuoso pianist,20 zł,Obverse
86,Poland,NA,1,Marie Curie,1867-1934,2011 (commemorative),NA,Physicist and chemist; winner of the Nobel Prize in Physics (1903) and Chemistry (1911),20 zł,Obverse
86,Poland,NA,1,Jan Długosz,1415-1480,2015 (commemorative),NA,"Priest, chronicler, diplomat, soldier, and secretary to Bishop Zbigniew Oleśnicki of Kraków",20 zł,Obverse
86,Poland,NA,1,Doubravka of Bohemia,ca. 940/45-977,2016 (commemorative),NA,Bohemian princess of the Přemyslid dynasty and by marriage Duchess of the Polans,20 zł,Obverse
86,Poland,NA,1,Pope Saint John Paul II and Stefan Wyszyński,1920–2005 (John Paul II); 1901–1981 (Stefan Wyszyński),2006 (commemorative),NA,"Pope of the Roman Catholic Church (1978-2005); Saint of the Roman Catholic Church (John Paul II); Cardinal, Archbishop of Gniezno and Warsaw (1948-1981) (Stefan Wyszyński)",50 zł,Both (John Paul II); Reverse (Stefan Wyszyński)
87,Romania,NA,1,Lucian Blaga,1895–1961,2006,NA,"poet, playwright, philosopher",200 L,obverse
87,Romania,NA,1,Ion Luca Caragiale,1852–1912,2005,NA,"playwright, short story writer",100 L,obverse
87,Romania,NA,1,Mihai Eminescu,1850–1889,2005,NA,romantic poet,500 L,obverse
87,Romania,NA,1,George Enescu,1881–1955,2005,NA,"composer, violinist, pianist",5 L,obverse
87,Romania,NA,1,Nicolae Grigorescu,1838–1907,2005,NA,painter; a founder of modern Romanian painting,10 L,obverse
87,Romania,NA,1,Nicolae Grigorescu,1838–1907,2008,NA,painter; a founder of modern Romanian painting,10 L,obverse
87,Romania,NA,1,Nicolae Iorga,1871–1940,2005,NA,"Prime Minister, historian",1 L,obverse
87,Romania,NA,1,Aurel Vlaicu,1882–1913,2005,NA,"engineer, inventor, early pilot",50 L,obverse
88,Russia,NA,1,Nikolay Muravyov-Amursky,1809–1881,2006,NA,Governor General of Irkutsk and Yeniseysk (1847–1861),"5,000 ₽",obverse
88,Russia,NA,1,Peter I,1672–1725,1995,NA,Tsar of Russia and first Russian Emperor (1682–1725),500 ₽,obverse
88,Russia,NA,1,Yaroslav I,978-1054,2001,NA,Prince of Kiev and Novgorod (1019–1054),"1,000 ₽",obverse
88,Russia,NA,1,Lev Ivanovich Yashin,1929-1990,2018 (commemorative),NA,Goalkeeper for Dynamo Moscow (1950-1970) and the Soviet Union national football team (1954-1967),100 ₽,obverse
89,Samoa,NA,1,Malietoa Tanumafili II,1913-2007,2008,NA,O le Ao o le Malo (Head of State) of Samoa (1962-2007),100 tālā,Obverse
90,São Tomé and Príncipe,NA,1,Rei Amador,,"1993 (500 and 1,000 dobras); 1996 (5,000-50,000 dobras)",NA,,"All (500-50,000 dobras)",Obverse
90,São Tomé and Príncipe,NA,1,Francisco José Tenreiro,1921-1963,2005,NA,Geographer and poet,"100,000 dobras",Obverse
91,Saudi Arabia,NA,1,Abdullah bin Abdulaziz Al Saud,1924-2015,2007,NA,King of Saudi Arabia and Custodian of the Two Holy Mosques (2005-2015),1-100 riyals,Obverse
91,Saudi Arabia,NA,1,Abdulaziz ibn Abdul Rahman ibn Faisal ibn Turki ibn Abdullah ibn Muhammad Al Saud,1876-1953,2007,NA,King of Nejd and Hejaz (1926-1932); King of Saudi Arabia (1932-1953); Founder of Saudi Arabia,500 riyals,Obverse
91,Saudi Arabia,NA,1,Salman bin Abdulaziz Al Saud,1935-,2016,NA,King of Saudi Arabia and the Custodian of the Two Holy Mosques (2015-),5-100 riyals,Obverse
92,South Africa,NA,1,Nelson Rolihlahla Mandela,1918-2013,2012 (original issue); 2018 (commemorative issue),NA,President of South Africa (1994-1999),10 rand,Obverse (2012 issue); Reverse (2018 commemorative issue)
92,South Africa,NA,1,Nelson Rolihlahla Mandela,1918-2013,2012 (original issue); 2018 (commemorative issue),NA,President of South Africa (1994-1999),20 rand,Obverse (2012 issue); Reverse (2018 commemorative issue)
92,South Africa,NA,1,Nelson Rolihlahla Mandela,1918-2013,2012 (original issue); 2018 (commemorative issue),NA,President of South Africa (1994-1999),50 rand,Obverse (2012 issue); Reverse (2018 commemorative issue)
92,South Africa,NA,1,Nelson Rolihlahla Mandela,1918-2013,2012 (original issue); 2018 (commemorative issue),NA,President of South Africa (1994-1999),100 rand,Obverse (2012 issue); Reverse (2018 commemorative issue)
92,South Africa,NA,1,Nelson Rolihlahla Mandela,1918-2013,2012 (original issue); 2018 (commemorative issue),NA,President of South Africa (1994-1999),200 rand,Obverse (2012 issue); Reverse (2018 commemorative issue)
93,South Sudan,NA,1,John Garang de Mabior,1945-2005,2011,NA,"President of the Southern Sudan Autonomous Region (July 9-July 30, 2005); Leader of the Sudan People's Liberation Army during the Second Sudanese Civil War",All (5 to 25 South Sudanese piasters),Obverse
93,South Sudan,NA,1,John Garang de Mabior,1945-2005,2011 (1 to 100 South Sudanese pounds); 2016 (20 South Sudanese pounds); 2018 (500 South Sudanese pounds),NA,"President of the Southern Sudan Autonomous Region (July 9-July 30, 2005); Leader of the Sudan People's Liberation Army during the Second Sudanese Civil War",All (1 to 500 South Sudanese pounds),Obverse
94,Serbia,NA,1,Jovan Cvijić,1865–1927,2004,NA,geographer,500 din.,both
94,Serbia,NA,1,Slobodan Jovanović,1869–1958,2003,NA,Prime Minister of the Yugoslav government-in-exile (1942–1943),"5,000 din.",both
94,Serbia,NA,1,Vuk Stefanović Karadžić,1787–1864,2006,NA,Linguist; reformer of the Serbian language,10 din.,both
94,Serbia,NA,1,Stevan Stojanović Mokranjac,1856–1914,2005,NA,Composer and music educator,50 din.,both
94,Serbia,NA,1,Milutin Milanković,1879-1958,2011,NA,"Mathematician, astronomer and geophysicist","2,000 din.",both
94,Serbia,NA,1,Petar II,1813–1851,2006,NA,Prince-Bishop of Montenegro (1830–1851); Serbian language poet,20 din.,both
94,Serbia,NA,1,Nadežda Petrović,1873–1915,2006,NA,Painter,200 din.,both
94,Serbia,NA,1,Nikola Tesla,1856–1943,2006,NA,Serbian-American electrical engineer and inventor,100 din.,both
94,Serbia,NA,1,Đorđe Vajfert,1850–1937,2006,NA,1st president of the National Bank of Serbia (1912–1926),"1,000 din.",both
95,Sierra Leone,NA,1,Bai Bureh,1840-1908,2002,NA,Leader in the Hut Tax War of 1898 in Northern Sierra Leone against British rule and Krio dominance,"1,000 Leones",Obverse
95,Sierra Leone,NA,1,Isaac Theophilus Akunna Wallace-Johnson,1894-1965,2000,NA,"Trade unionist, journalist, activist, and politician","2,000 Leones",Obverse
95,Sierra Leone,NA,1,Sengbe Pieh (Joseph Cinqué),1814-1879,2002,NA,"Responsible for leading the revolt of fellow slaves on the Spanish slave ship, Amistad","5,000 Leones",Obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$2,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$5,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$10,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$20,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$50,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$100,obverse
96,Singapore,NA,1,Yusof bin Ishak,1910–1970,1999,NA,First President of Singapore (1965–1970),S$1000,obverse
